Category: All categories

Country,data scientist: (7/24/24 - 7/24/25)
Singapore,100
India,90
Zimbabwe,
Botswana,
Tunisia,66
Sri Lanka,65
Benin,
South Africa,58
United States,58
St. Helena,
Kenya,53
Nepal,52
Senegal,
Cameroon,
Mauritius,
Pakistan,48
Togo,
Canada,45
Madagascar,
Sierra Leone,
Luxembourg,
Trinidad & Tobago,
Papua New Guinea,
Rwanda,
United Kingdom,41
Nigeria,41
Bhutan,
Barbados,
Fiji,
France,40
United Arab Emirates,39
Namibia,
Ghana,38
Netherlands,36
Ireland,36
Côte d’Ivoire,
China,
Morocco,35
Switzerland,34
Brunei,
Qatar,
Ethiopia,
Australia,31
Malaysia,30
Jamaica,
Somalia,
Germany,25
Laos,
New Zealand,25
Kosovo,
Mali,
Malta,
Congo - Brazzaville,
Hong Kong,23
Israel,23
Bahrain,
Denmark,22
Armenia,
Azerbaijan,
Philippines,22
South Korea,21
Sweden,21
Myanmar (Burma),
Lebanon,
Uganda,
Portugal,20
Albania,
Burkina Faso,
Belgium,19
Bangladesh,19
Vietnam,18
Oman,
Poland,18
Cyprus,
North Macedonia,
Tanzania,
Kuwait,
Georgia,
Egypt,16
Puerto Rico,
Indonesia,16
Greece,16
Hungary,16
Montenegro,
Finland,15
Zambia,
Mongolia,
Italy,15
Lithuania,
Austria,14
Norway,14
Spain,14
Latvia,
Thailand,13
Russia,12
Kazakhstan,12
Chile,12
Algeria,12
Serbia,
Jordan,
Cambodia,
Uzbekistan,
Bulgaria,
Saudi Arabia,10
Mexico,10
Belarus,
Slovenia,
Taiwan,9
Estonia,
Uruguay,
Costa Rica,
Peru,9
Czechia,8
Romania,8
Argentina,8
Palestine,
Colombia,8
Iraq,
Slovakia,
Panama,
Croatia,
Moldova,
Honduras,
Türkiye,7
Dominican Republic,
Ukraine,6
Ecuador,
Kyrgyzstan,
Guatemala,
Paraguay,
Mozambique,
Venezuela,
Brazil,5
Congo - Kinshasa,
Bosnia & Herzegovina,
Iran,4
Bolivia,
El Salvador,
Japan,2
Guyana,
Gabon,
Gambia,
Aruba,
Marshall Islands,
Djibouti,
Cayman Islands,
Christmas Island,
Curaçao,
Cuba,
Monaco,
Northern Mariana Islands,
Dominica,
Mauritania,
Montserrat,
Martinique,
St. Martin,
Malawi,
Cape Verde,
Mayotte,
Comoros,
New Caledonia,
Niger,
Norfolk Island,
Macao,
Nicaragua,
Niue,
Cook Islands,
Guinea-Bissau,
Lesotho,
Nauru,
Liechtenstein,
Cocos (Keeling) Islands,
Central African Republic,
St. Lucia,
Pitcairn Islands,
Libya,
Bouvet Island,
Palau,
Angola,
Eritrea,
Bermuda,
North Korea,
Belize,
Western Sahara,
St. Kitts & Nevis,
French Polynesia,
Kiribati,
Réunion,
Jersey,
Falkland Islands (Islas Malvinas),
St. Barthélemy,
Faroe Islands,
Sudan,
Iceland,
Bahamas,
South Georgia & South Sandwich Islands,
Micronesia,
Svalbard & Jan Mayen,
Solomon Islands,
Caribbean Netherlands,
British Indian Ocean Territory,
San Marino,
Burundi,
St. Pierre & Miquelon,
Isle of Man,
South Sudan,
São Tomé & Príncipe,
Suriname,
Guernsey,
Gibraltar,
Haiti,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Antigua & Barbuda,
Heard & McDonald Islands,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
French Southern Territories,
Antarctica,
Guinea,
Tuvalu,
Guam,
American Samoa,
French Guiana,
Greenland,
U.S. Outlying Islands,
Grenada,
Andorra,
Guadeloupe,
Vatican City,
St. Vincent & Grenadines,
Equatorial Guinea,
British Virgin Islands,
U.S. Virgin Islands,
Åland Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Anguilla,
Yemen,
Liberia,
Afghanistan,
Maldives,
